--------- beginning of system
12-27 11:28:13.218   982   982 I Leopard : ** build version : [20221118104802] **
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): lge.bootmode= doesn't exist in [/proc/cmdline]
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): find [lge.bootmode=] in [/tmp/bootmode_cmd]
12-27 11:28:13.927   984  1479 E CSE     : PSMCLient : Finished ipc_setup_psmclient_task for PSMClient, psm state 0, lcmc state 2
12-27 11:28:14.152   985  1503 E DIAG    : DiagClient::onStarted().
12-27 11:28:14.152   985  1503 E CSE     : OK ioctl regi callback func 1
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): setupTask_ipcInit() done!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[1/10] setupTask_ipcInit Success
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): ioctl_cb is registered!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[2/10] setupTask_ipcRegisterCallback Success
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): Service found by Interface ID:  121
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): ServiceName: :SPIGateway_SPI:
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): setupTask_findSpiService() done!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[3/10] setupTask_findSpiService() done
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): setupTask_findSpiInterface() done!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[4/10] setupTask_findSpiInterface() done
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[5/10] SPI Ready and Notify to CommManager!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): setupTask_launchTeleVmHandler() done!
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[6/10] setupTask_launchTeleVmHandler() done
12-27 11:28:14.463   979  1544 E CSE     : SPIClient(): STEP[7/10] CseLc_AddServiceListener() done
12-27 11:28:14.466   979  1094 E CSE     : SPIClient(): onServiceChanged(): Service ID->121 is State->2
12-27 11:28:14.501   979  1596 E CSE     : SPIClient(): Entering handleTeleVmCommand Task
12-27 11:28:14.549   979  1596 E CSE     : SPIClient(): CB_CMD_COMM_CSE_ACTIVATION Called!
12-27 11:28:14.549   979  1596 E CSE     : SPIClient(): activateService(): Under Synchronization
12-27 11:28:14.892   986  1502 E SOTA    : onStarted is started
12-27 11:28:14.892   986  1502 E SOTA    : onStarted is finished
12-27 11:28:14.892   986  1502 E SOTA    : IOCTL_APPSTATUS_REG_RECEIVER
12-27 11:28:14.923  1524  1524 E WIFI    : WiFiManagerService()
12-27 11:28:14.942  1524  1524 E WIFI    : onInit
12-27 11:28:14.942  1524  1524 E WIFI    : > Last Modified Date(STA) : 2022_09_29
